Data;Fechamento;Volume
25-mar-14;2.22;3.520.900
26-mar-14;2.26;3.986.500
27-mar-14;2.35;7.783.000
28-mar-14;2.32;4.848.100
31-mar-14;2.33;4.400.200
1-abr-14;2.37;2.596.300
2-abr-14;2.41;3.436.400
3-abr-14;2.4;3.409.000
4-abr-14;2.39;2.956.500
7-abr-14;2.44;5.036.300
8-abr-14;2.33;7.784.200
9-abr-14;2.25;17.700.000
10-abr-14;2.28;15.393.900
11-abr-14;2.23;7.112.900
14-abr-14;2.2;6.927.300
15-abr-14;2.17;6.057.200
16-abr-14;2.23;7.313.700
17-abr-14;2.27;6.744.200
22-abr-14;2.3;9.740.400
23-abr-14;2.24;9.370.400
24-abr-14;2.27;5.353.600
25-abr-14;2.24;4.577.500
28-abr-14;2.31;2.827.300
29-abr-14;2.31;6.305.800
30-abr-14;2.3;9.768.000
2-mai-14;2.35;9.809.900
5-mai-14;2.32;4.832.700
6-mai-14;2.31;6.900.600
7-mai-14;2.32;14.267.100
8-mai-14;2.27;2.594.800
9-mai-14;2.26;2.929.100
12-mai-14;2.3;648.700
13-mai-14;2.27;2.793.500
14-mai-14;2.26;3.380.400
15-mai-14;2.22;3.300.000
16-mai-14;2.26;4.231.200
19-mai-14;2.26;1.560.600
20-mai-14;2.21;4.083.900
21-mai-14;2.2;2.432.300
22-mai-14;2.25;1.409.600
23-mai-14;2.23;1.859.800
26-mai-14;2.27;358.800
27-mai-14;2.22;1.356.500
28-mai-14;2.25;1.269.500
29-mai-14;2.25;627.800
30-mai-14;2.19;6.097.000
2-jun-14;2.24;2.803.400
3-jun-14;2.26;2.896.100
4-jun-14;2.22;2.181.500
5-jun-14;2.22;3.018.500
6-jun-14;2.24;3.821.500
9-jun-14;2.24;5.336.500
10-jun-14;2.23;1.840.900
11-jun-14;2.22;794.700
13-jun-14;2.21;5.274.200
16-jun-14;2.17;848.300
17-jun-14;2.15;5.268.400
18-jun-14;2.19;2.342.600
20-jun-14;2.25;4.867.300
23-jun-14;2.2;332.300
24-jun-14;2.21;877.600
25-jun-14;2.16;991.800
26-jun-14;2.19;1.148.000
27-jun-14;2.14;1.195.000
30-jun-14;2.19;791.500
1-jul-14;2.14;350.300
2-jul-14;2.16;1.564.800
3-jul-14;2.22;1.159.000
4-jul-14;2.24;821.400
7-jul-14;2.24;676.100
